,compound,date,negative,positive,source,text,tweets ago
0,0.2263,Thu Sep 27 17:02:07 +0000 2018,0.089,0.155,@BBC,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their ski… https://t.co/WXXa78QNdD",1
1,-0.128,Thu Sep 27 16:03:09 +0000 2018,0.067,0.0,@BBC,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴… https://t.co/innpVg70hh,2
2,-0.5574,Thu Sep 27 15:31:07 +0000 2018,0.194,0.0,@BBC,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",3
3,0.5719,Thu Sep 27 15:06:35 +0000 2018,0.0,0.171,@BBC,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",4
4,-0.4201,Thu Sep 27 14:03:05 +0000 2018,0.117,0.0,@BBC,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of in… https://t.co/EF0u3XM6Nj",5
5,0.4939,Thu Sep 27 13:46:00 +0000 2018,0.0,0.122,@BBC,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",6
6,0.0,Thu Sep 27 13:10:27 +0000 2018,0.0,0.0,@BBC,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,7
7,-0.4019,Thu Sep 27 13:03:06 +0000 2018,0.299,0.225,@BBC,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",8
8,0.0,Thu Sep 27 12:32:06 +0000 2018,0.0,0.0,@BBC,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉… https://t.co/QxUgZSSXnX",9
9,-0.7579,Thu Sep 27 11:03:03 +0000 2018,0.351,0.0,@BBC,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",10
10,0.0,Thu Sep 27 10:44:32 +0000 2018,0.0,0.0,@BBC,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",11
11,-0.4753,Thu Sep 27 10:02:02 +0000 2018,0.154,0.0,@BBC,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",12
12,0.8697,Thu Sep 27 09:04:05 +0000 2018,0.0,0.38,@BBC,"Talk about an anticlimax!

When these rescue workers were called to save a drowning man, they got a HUGE surprise..… https://t.co/PAVPpirEj0",13
13,0.7964,Thu Sep 27 08:04:04 +0000 2018,0.056,0.265,@BBC,"""It was probably the end of the night and I was definitely ready for my bed."" 😂

When a photo of you in a nightclub… https://t.co/asnG7gQrC9",14
14,0.5411,Thu Sep 27 07:32:04 +0000 2018,0.0,0.162,@BBC,"Up, up and away! These enormous kites took to the sky at a festival in Germany. 🌬  https://t.co/HSIAQAQQE9 https://t.co/iIWX5ERx8I",15
15,0.5551,Thu Sep 27 07:04:02 +0000 2018,0.0,0.339,@BBC,"So cute! 😍🐣 Meet Germany's 'Papa Goose'... 

https://t.co/3NtLqZQcnm",16
16,0.0,Wed Sep 26 20:03:06 +0000 2018,0.0,0.0,@BBC,The 14th Century house used as the birthplace of Harry Potter is still up for sale. ⚡️📖  https://t.co/dcspAsDKrg https://t.co/NEOGYEkwBr,17
17,0.0,Wed Sep 26 19:07:05 +0000 2018,0.0,0.0,@BBC,"📬Do not post crisp packets to Walkers, says Royal Mail ➡️

https://t.co/3JbgtRfiBQ https://t.co/VWRXGKC9nJ",18
18,0.0,Wed Sep 26 16:02:05 +0000 2018,0.0,0.0,@BBC,"Did the Duchess of Sussex break protocol when she closed her car door? 

https://t.co/o2n2k0msfU https://t.co/qYmnjcI0ZM",19
19,0.659,Wed Sep 26 15:03:05 +0000 2018,0.0,0.403,@BBC,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",20
20,-0.25,Wed Sep 26 14:04:00 +0000 2018,0.083,0.0,@BBC,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",21
21,0.0,Wed Sep 26 14:03:03 +0000 2018,0.0,0.0,@BBC,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",22
22,-0.1027,Wed Sep 26 13:04:06 +0000 2018,0.229,0.181,@BBC,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",23
23,0.0,Wed Sep 26 12:32:03 +0000 2018,0.0,0.0,@BBC,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,24
24,0.0,Wed Sep 26 12:30:08 +0000 2018,0.0,0.0,@BBC,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",25
25,0.0,Wed Sep 26 11:02:01 +0000 2018,0.0,0.0,@BBC,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",26
26,0.3182,Wed Sep 26 10:46:44 +0000 2018,0.0,0.126,@BBC,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,27
27,0.0,Wed Sep 26 10:04:04 +0000 2018,0.0,0.0,@BBC,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",28
28,0.0,Wed Sep 26 09:53:51 +0000 2018,0.0,0.0,@BBC,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,29
29,0.0,Wed Sep 26 09:04:04 +0000 2018,0.0,0.0,@BBC,"Discover the ancient volcanoes along Scotland’s west coast... 😮🌋

https://t.co/kEPUuvtDN3",30
30,0.4767,Wed Sep 26 08:04:03 +0000 2018,0.168,0.353,@BBC,How to help a friend who's struggling with mental health. https://t.co/X9PwihsgH9 https://t.co/0lUMrtmb1j,31
31,0.0,Wed Sep 26 07:31:04 +0000 2018,0.0,0.0,@BBC,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",32
32,0.0,Wed Sep 26 07:02:07 +0000 2018,0.0,0.0,@BBC,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",33
33,0.296,Tue Sep 25 20:03:05 +0000 2018,0.0,0.145,@BBC,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",34
34,0.4019,Tue Sep 25 19:03:06 +0000 2018,0.0,0.137,@BBC,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",35
35,0.0,Tue Sep 25 16:32:49 +0000 2018,0.0,0.0,@BBC,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",36
36,0.6114,Tue Sep 25 16:02:03 +0000 2018,0.0,0.285,@BBC,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",37
